id,Caracteristica asignada,Justificación
1001,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1002,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1003,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1004,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1005,Ausencia de riesgo,"Al no validarse la firma electrónica, se compromete la legalidad y autenticidad del registro clínico. Esto genera un riesgo regulatorio, legal y de seguridad de la información directo para el centro médico y el paciente."
1006,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1007,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1008,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1009,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1010,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1011,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1012,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1013,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1014,Eficacia,El sistema falla en el grado de completitud de la tarea al no generar el documento médico tras la cita.
1015,Eficacia,El sistema carece de precisión al no actualizar la interfaz con una transacción financiera aprobada.
1016,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1017,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1018,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1019,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
