id,fecha,modulo,descripcion,rol_usuario,sede,Caracteristica,palabras clave,Caracteristica asignada
1210,1/2/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Guayaquil,,no carga,Eficacia
1509,1/2/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Admision,Guayaquil,,no envia correo,Eficacia
1786,1/2/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Farmacia,Quito,,Duplicidad,Eficacia
2017,1/2/2025,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Admision,Quito,,Confuso,Satisfacción
2020,1/2/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Admision,Quito,,no reconoce,Eficacia
2209,1/2/2025,Facturacion,El sistema no permite anular una factura emitida por error,Paciente,Quito,,error,Eficacia
2416,1/2/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito,,1s/2s/3s/4s/5s/6s/7s/8s/9s/0s,Eficiencia
3137,1/2/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Ambato,,valida,Ausencia de riesgo
3262,1/2/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito,,calidad,Eficiencia
3291,1/2/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Cuenca,,no pertmite,Cobertura de contexto
3846,1/2/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Manta,,,Ausencia de riesgo
1072,1/3/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Guayaquil,,,Eficacia
1134,1/3/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 18s,Medico,Quito,,,Eficiencia
2008,1/3/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Paciente,Quito,,,Eficacia
3980,1/3/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Manta,,,Ausencia de riesgo
1020,1/4/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Ambato,,,Ausencia de riesgo
1075,1/4/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Guayaquil,,,Eficacia
1301,1/4/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Quito,,,Eficacia
1490,1/4/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 19s,Medico,Ambato,,,Eficiencia
1904,1/4/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Quito,,,Eficacia
2196,1/4/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Admision,Quito,,,Satisfacción
2235,1/4/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Admision,Guayaquil,,,Eficacia
3173,1/4/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Paciente,Guayaquil,,,Eficacia
3347,1/4/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Guayaquil,,,Cobertura de contexto
1120,1/5/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Paciente,Cuenca,,,Eficacia
1377,1/5/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,,,Eficacia
1454,1/5/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Enfermeria,Guayaquil,,,Eficacia
2368,1/5/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Quito,,,Eficacia
2506,1/5/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Cuenca,,,Eficacia
2872,1/5/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Quito,,,Eficacia
3155,1/5/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Guayaquil,,,Eficiencia
3430,1/5/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Medico,Guayaquil,,,Satisfacción
3543,1/5/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Paciente,Guayaquil,,,Ausencia de riesgo
1286,1/6/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Guayaquil,,,Eficacia
1530,1/6/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Medico,Guayaquil,,,Eficacia
2371,1/6/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Farmacia,Cuenca,,,Ausencia de riesgo
2895,1/6/2025,Facturacion,El sistema no permite anular una factura emitida por error,Admision,Quito,,,Eficacia
3147,1/6/2025,Telemedicina,Grabacion de la consulta no se almacena correctamente,Medico,Guayaquil,,,Eficacia
3360,1/6/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Quito,,,Cobertura de contexto
3522,1/6/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Ambato,,,Ausencia de riesgo
1062,1/7/2025,HCE,Tiempo de carga de la ficha clinica supera los 23s en horas pico,Medico,Quito,,,Eficiencia
1151,1/7/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Quito,,,Cobertura de contexto
1246,1/7/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Guayaquil,,,Eficacia
2057,1/7/2025,Portal Citas,Tiempo de espera en el portal supera los 11s en horas pico,Admision,Guayaquil,,,Eficiencia
2294,1/7/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Medico,Quito,,,Eficacia
3028,1/7/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Medico,Cuenca,,,Eficacia
3363,1/7/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Cuenca,,,Eficacia
3617,1/7/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Quito,,,Eficacia
3791,1/7/2025,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Guayaquil,,,Eficacia
3814,1/7/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Enfermeria,Cuenca,,,Eficacia
3934,1/7/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Ambato,,,Eficacia
1340,1/8/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Paciente,Cuenca,,,Ausencia de riesgo
1473,1/8/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Medico,Manta,,,Eficacia
1610,1/8/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Ambato,,,Ausencia de riesgo
1670,1/8/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Farmacia,Cuenca,,,Eficacia
1737,1/8/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca,,,Eficacia
1952,1/8/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Quito,,,Eficacia
1986,1/8/2025,Reportes Gerenciales,El reporte de ocupacion hospitalaria no se actualiza automaticamente,Gerencia,Quito,,,Eficacia
2067,1/8/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Manta,,,Ausencia de riesgo
2349,1/8/2025,Telemedicina,Receta electronica no se genera al finalizar la teleconsulta,Paciente,Guayaquil,,,Eficacia
2445,1/8/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Ambato,,,Ausencia de riesgo
2670,1/8/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Quito,,,Ausencia de riesgo
3253,1/8/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Admision,Ambato,,,Eficacia
3517,1/8/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Enfermeria,Ambato,,,Eficacia
1066,1/9/2025,Telemedicina,Videollamada se corta a los 4 minutos,Medico,Guayaquil,,,Eficacia
1196,1/9/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Cuenca,,,Ausencia de riesgo
1269,1/9/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Guayaquil,,,Cobertura de contexto
1280,1/9/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Quito,,,Eficacia
1321,1/9/2025,Facturacion,Retraso de 11s al procesar el pago con tarjeta de credito,Paciente,Guayaquil,,,Eficiencia
1441,1/9/2025,HCE,Nota de evolucion tarda 10s en guardarse,Medico,Guayaquil,,,Eficiencia
1532,1/9/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Enfermeria,Quito,,,Eficacia
1567,1/9/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Manta,,,Eficacia
1674,1/9/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Medico,Quito,,,Satisfacción
2626,1/9/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Ambato,,,Ausencia de riesgo
3011,1/9/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Admision,Quito,,,Eficacia
3046,1/9/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Manta,,,Satisfacción
3177,1/9/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Admision,Quito,,,Eficacia
3242,1/10/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Guayaquil,,,Ausencia de riesgo
3301,1/10/2025,HCE,Tiempo de carga de la ficha clinica supera los 24s en horas pico,Medico,Manta,,,Eficiencia
3348,1/10/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Ambato,,,Eficacia
3411,1/10/2025,Facturacion,Factura duplicada al reintentar pago,Paciente,Quito,,,Eficacia
3776,1/10/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Ambato,,,Eficacia
3900,1/10/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Enfermeria,Quito,,,Eficacia
3978,1/10/2025,Portal Citas,Usuario no logra agendar tras 3 intentos,Paciente,Guayaquil,,,Eficacia
1056,1/11/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 31s,Farmacia,Guayaquil,,,Eficiencia
1272,1/11/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito,,,Satisfacción
1328,1/11/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Quito,,,Eficacia
2177,1/11/2025,Facturacion,Factura duplicada al reintentar pago,Admision,Cuenca,,,Eficacia
2674,1/11/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Admision,Guayaquil,,,Ausencia de riesgo
2695,1/11/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Cuenca,,,Eficacia
3172,1/11/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca,,,Eficacia
3632,1/11/2025,HCE,Nota de evolucion tarda 19s en guardarse,Medico,Quito,,,Eficiencia
1447,1/12/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Quito,,,Eficacia
2024,1/12/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Quito,,,Satisfacción
2660,1/12/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 31s,Enfermeria,Ambato,,,Eficiencia
3125,1/12/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Guayaquil,,,Cobertura de contexto
3640,1/12/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Medico,Guayaquil,,,Eficacia
3692,1/12/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Ambato,,,Eficacia
1076,1/13/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito,,,Eficacia
1110,1/13/2025,Laboratorio,Retraso de 18s en la disponibilidad de resultados criticos,Medico,Guayaquil,,,Eficiencia
1118,1/13/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Quito,,,Eficacia
1306,1/13/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Ambato,,,Eficacia
1348,1/13/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Paciente,Ambato,,,Eficacia
1632,1/13/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Ambato,,,Eficacia
1814,1/13/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Ambato,,,Eficacia
2297,1/13/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Paciente,Cuenca,,,Eficacia
2334,1/13/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Manta,,,Ausencia de riesgo
